Sample,Location_ID,Sample_ID,Location,Salish_vs_West_Coast,Subsample,Historic_vs_Modern,d11B,,
Msi 51,USNM 92626,MS_i_USNM 92626_H,Admiralty,Salish Sea,No,Historic,25.372610,,
Msii 35,CAR46 D08,CAR46-D08-C001-live,Canada Border,Salish Sea,No,Modern,24.524758,,
Msii 36,CAR46 D08,CAR46-D08-C002-live,Canada Border,Salish Sea,No,Modern,24.401779,,
Msii 37,CAR46 D08,CAR46-D08-C003-live,Canada Border,Salish Sea,No,Modern,24.092287,,
Msii 38,CAR46 D08,CAR46-D08-C004-live,Canada Border,Salish Sea,No,Modern,24.593788,,
Msii 39,CAR46 D08,CAR46-D08-C006-live,Canada Border,Salish Sea,No,Modern,24.110139,,
Msii 40,CAR46 D08,CAR46-D08-C019-live,Canada Border,Salish Sea,No,Modern,24.567644,,
Msii 41,CAR46 D08,CAR46-D08-C022-live,Canada Border,Salish Sea,No,Modern,24.562862,,
Msii 42,CAR46 D08,CAR46-D08-C035-live+dead,Canada Border,Salish Sea,No,Modern,24.578594,,
Msii 1,CAR46 D01,CAR46-D01-C001-live,Lopez Island,Salish Sea,No,Modern,24.910463,,
Msii 2,CAR46 D01,CAR46-D01-C002-live,Lopez Island,Salish Sea,No,Modern,24.421147,,
Msii 3,CAR46 D01,CAR46-D01-C003-live,Lopez Island,Salish Sea,No,Modern,24.947233,,
Msii 4,CAR46 D01,CAR46-D01-C005-live,Lopez Island,Salish Sea,No,Modern,23.947577,,
Msii 5,CAR46 D01,CAR46-D01-C006-live+dead,Lopez Island,Salish Sea,No,Modern,25.171894,,
Msii 6,CAR46 D01,CAR46-D01-C008-live-2 individuals,Lopez Island,Salish Sea,No,Modern,25.133556,,
Msii 7,CAR46 D01,CAR46-D01-C009-live,Lopez Island,Salish Sea,No,Modern,24.010515,,
Msii 8,CAR46 D01,CAR46-D01-C010-live,Lopez Island,Salish Sea,No,Modern,24.624643,,
Msii 9,CAR46 D02,CAR46-D02-C001-live,Admiralty,Salish Sea,No,Modern,24.775335,,
Msii 10,CAR46 D02,CAR46-D02-C002-live,Admiralty,Salish Sea,No,Modern,24.914937,,
Msii 11,CAR46 D04,CAR46-D04-C002-live,Admiralty,Salish Sea,No,Modern,25.542041,,
Msii 12,CAR46 D04,CAR46-D04-C003-live,Admiralty,Salish Sea,No,Modern,24.892011,,
Msii 13,CAR46 D04,CAR46-D04-C004-live,Admiralty,Salish Sea,No,Modern,23.935421,,
Msii 14,CAR46 D04,CAR46-D04-C005-live,Admiralty,Salish Sea,No,Modern,25.091149,,
Msii 15,CAR46 D04,CAR46-D04-C006-live,Admiralty,Salish Sea,No,Modern,24.149807,,
Msii 16,CAR46 D04,CAR46-D04-C008-live,Admiralty,Salish Sea,No,Modern,24.027628,,
Msii 17,CAR46 D04,CAR46-D04-C010-live,Admiralty,Salish Sea,No,Modern,24.068319,,
Msii 18,CAR46 D04,CAR46-D04-C011-live,Admiralty,Salish Sea,No,Modern,24.430275,,
Msii 19,CAR46 D05,CAR46-D05-C002-live,Keystone,Salish Sea,No,Modern,24.003447,,
Msii 20,CAR46 D05,CAR46-D05-C003-live,Keystone,Salish Sea,No,Modern,24.760360,,
Msii 21,CAR46 D05,CAR46-D05-C005-live,Keystone,Salish Sea,No,Modern,24.314633,,
Msii 22,CAR46 D05,CAR46-D05-C009-live,Keystone,Salish Sea,No,Modern,24.711484,,
Msii 23,CAR46 D05,CAR46-D05-C011-live,Keystone,Salish Sea,No,Modern,23.752545,,
Msii 24,CAR46 D05,CAR46-D05-C024-live,Keystone,Salish Sea,No,Modern,23.918383,,
Msii 25,CAR46 D05,CAR46-D05-C025-live,Keystone,Salish Sea,No,Modern,24.169137,,
Msii 26,CAR46 D05,CAR46-D05-C027-live,Keystone,Salish Sea,No,Modern,24.287432,,
Msii 27,CAR46 D07,CAR46-D07-C001-live,North of Admiralty ,Salish Sea,No,Modern,24.421249,,
Msii 28,CAR46 D07,CAR46-D07-C002-live,North of Admiralty ,Salish Sea,No,Modern,23.748514,,
Msii 29,CAR46 D07,CAR46-D07-C003-live,North of Admiralty ,Salish Sea,No,Modern,24.533407,,
Msii 30,CAR46 D07,CAR46-D07-C004-live-2 individuals,North of Admiralty ,Salish Sea,No,Modern,23.862766,,
Msii 31,CAR46 D07,CAR46-D07-C005-live-2 individuals,North of Admiralty ,Salish Sea,No,Modern,24.766621,,
Msii 32,CAR46 D07,CAR46-D07-C006-live,North of Admiralty ,Salish Sea,No,Modern,24.495906,,
Msii 33,CAR46 D07,CAR46-D07-C007-live,North of Admiralty ,Salish Sea,No,Modern,24.460803,,
Msii 34,CAR46 D07,CAR46-D07-C008-live,North of Admiralty ,Salish Sea,No,Modern,24.567824,,
Msii 43,CAR46 D07,CAR46-D07-C005b-live-2 individuals,North of Admiralty ,Salish Sea,Yes,Modern,24.985741,,
Msii 44,CAR46 D01,CAR46-D01-C002i-live,Lopez Island,Salish Sea,Yes,Modern,24.751924,,
Msii 45,CAR46 D01,CAR46-D01-C002ii-live,Lopez Island,Salish Sea,Yes,Modern,24.853859,,
Msii 46,CAR46 D01,CAR46-D01-C002iii-live,Lopez Island,Salish Sea,Yes,Modern,24.942489,,
Msii 47,CAR46 D04,CAR46-D04-C006i-live,Admiralty,Salish Sea,Yes,Modern,24.836226,,
Msii 48,CAR46 D04,CAR46-D04-C006ii-live,Admiralty,Salish Sea,Yes,Modern,24.603931,,
Msii 49,CAR46 D04,CAR46-D04-C006iii-live,Admiralty,Salish Sea,Yes,Modern,24.420118,,
Msii 50,CAR46 D08,CAR46-D08-C0035ai-live,Canada Border,Salish Sea,Yes,Modern,24.618470,,
Msii 51,CAR46 D08,CAR46-D08-C0035aii-live,Canada Border,Salish Sea,Yes,Modern,24.839706,,
Msii 52,CAR46 D08,CAR46-D08-C0035aiii-live,Canada Border,Salish Sea,Yes,Modern,24.777679,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
