year,data_mean_global
0,277.454
1,277.137
2,277.16
3,277.158
4,277.157
5,277.167
6,277.172
7,277.171
8,277.175
9,277.176
10,277.179
11,277.194
12,277.198
13,277.201
14,277.201
15,277.211
16,277.217
17,277.221
18,277.226
19,277.227
20,277.232
21,277.234
22,277.237
23,277.245
24,277.249
25,277.256
26,277.26
27,277.277
28,277.28
29,277.282
30,277.284
31,277.285
32,277.293
33,277.291
34,277.295
35,277.3
36,277.305
37,277.311
38,277.316
39,277.318
40,277.325
41,277.33
42,277.334
43,277.337
44,277.341
45,277.343
46,277.348
47,277.351
48,277.353
49,277.36
50,277.362
51,277.363
52,277.368
53,277.371
54,277.376
55,277.379
56,277.385
57,277.387
58,277.389
59,277.395
60,277.397
61,277.402
62,277.406
63,277.408
64,277.417
65,277.423
66,277.428
67,277.43
68,277.433
69,277.437
70,277.436
71,277.437
72,277.437
73,277.445
74,277.452
75,277.457
76,277.462
77,277.461
78,277.463
79,277.472
80,277.477
81,277.481
82,277.487
83,277.489
84,277.497
85,277.505
86,277.509
87,277.516
88,277.52
89,277.528
90,277.536
91,277.541
92,277.554
93,277.56
94,277.571
95,277.571
96,277.579
97,277.584
98,277.597
99,277.609
100,277.62
101,277.623
102,277.63
103,277.633
104,277.636
105,277.645
106,277.643
107,277.651
108,277.656
109,277.659
110,277.663
111,277.671
112,277.678
113,277.694
114,277.702
115,277.71
116,277.717
117,277.718
118,277.723
119,277.726
120,277.733
121,277.739
122,277.744
123,277.748
124,277.75
125,277.758
126,277.761
127,277.765
128,277.769
129,277.77
130,277.773
131,277.779
132,277.785
133,277.79
134,277.794
135,277.801
136,277.808
137,277.813
138,277.821
139,277.828
140,277.832
141,277.835
142,277.846
143,277.855
144,277.859
145,277.869
146,277.876
147,277.884
148,277.89
149,277.897
150,277.907
151,277.917
152,277.924
153,277.934
154,277.946
155,277.956
156,277.977
157,277.984
158,278
159,278.012
160,278.029
161,278.042
162,278.055
163,278.071
164,278.087
165,278.11
166,278.124
167,278.138
168,278.155
169,278.172
170,278.194
171,278.211
172,278.233
173,278.257
174,278.278
175,278.298
176,278.321
177,278.34
178,278.363
179,278.384
180,278.404
181,278.415
182,278.432
183,278.455
184,278.483
185,278.508
186,278.52
187,278.543
188,278.561
189,278.58
190,278.599
191,278.635
192,278.661
193,278.681
194,278.712
195,278.735
196,278.765
197,278.789
198,278.816
199,278.845
200,278.877
201,278.901
202,278.936
203,278.957
204,278.986
205,279.021
206,279.051
207,279.088
208,279.114
209,279.137
210,279.164
211,279.187
212,279.212
213,279.237
214,279.261
215,279.282
216,279.306
217,279.334
218,279.353
219,279.379
220,279.404
221,279.429
222,279.452
223,279.474
224,279.497
225,279.516
226,279.533
227,279.554
228,279.578
229,279.602
230,279.625
231,279.646
232,279.667
233,279.693
234,279.717
235,279.739
236,279.749
237,279.77
238,279.788
239,279.806
240,279.825
241,279.835
242,279.846
243,279.855
244,279.863
245,279.877
246,279.892
247,279.911
248,279.915
